Annee;Mois;Ligne_A;Ligne_B;Ligne_C;Ligne_D;Ligne_E;Ligne_H;Ligne_J;Ligne_K;Ligne_L;Ligne_N;Ligne_P;Ligne_R;Hors_IDF;SNCF
2013;1;867;3 187;2 325;2 370;1 014;1 635;679;17;1 241;1 105;662;383;13;15 498
2013;2;741;3 779;2 087;2 035;768;1 351;588;17;969;1 094;607;286;9;14 331
2013;3;709;4 455;2 100;2 271;823;1 512;624;15;1 075;1 063;757;271;11;15 686
2013;4;1 043;5 984;2 691;2 812;1 059;1 571;661;28;1 298;1 332;892;355;11;19 737
2013;5;905;5 650;2 129;2 610;794;1 507;561;20;1 100;1 045;825;238;10;17 394
2013;6;1 130;5 498;2 774;3 097;1 083;2 155;804;26;1 407;1 516;893;391;16;20 790
2013;7;1 431;7 598;2 955;3 534;1 441;2 542;841;21;1 857;1 862;1 151;345;18;25 596
2013;8;1 279;6 902;2 816;3 189;1 138;2 275;794;25;1 644;1 362;1 208;366;17;23 015
2013;9;1 631;7 637;3 813;3 858;1 717;3 172;1 249;42;2 051;2 340;1 392;615;38;29 555
2013;10;1 121;5 827;2 695;2 829;1 089;2 317;845;28;1 230;1 439;1 049;436;20;20 925
2013;11;681;5 286;2 099;2 131;909;1 718;780;13;1 048;1 119;593;342;16;16 735
2013;12;964;5 486;2 340;2 489;954;1 815;845;14;1 408;1 130;640;329;11;18 425
2014;1;714;3 785;1 996;2 210;885;1 610;674;25;1 014;1 108;634;271;9;14 935
2014;2;629;4 505;1 867;1 986;824;1 528;649;21;1 020;1 107;579;248;11;14 974
2014;3;813;5 479;2 475;2 856;893;1 697;697;18;1 266;1 493;759;337;12;18 795
2014;4;1 008;8 246;2 269;2 681;929;1 768;596;7;1 135;1 129;954;251;6;20 979
2014;5;885;6 809;2 225;2 627;863;1 709;603;17;1 233;1 164;778;306;12;19 231
2014;6;1 083;7 821;2 434;2 882;967;1 940;657;15;1 336;1 463;771;306;8;21 683
2014;7;1 270;8 792;2 906;3 281;1 170;2 502;808;15;1 824;1 662;959;320;8;25 517
2014;8;1 457;9 128;2 699;3 420;1 243;2 504;853;18;1 885;1 618;1 024;333;12;26 194
2014;9;1 579;7 561;3 431;3 622;1 534;3 105;1 095;49;2 448;2 137;1 188;587;27;28 363
2014;10;996;6 567;2 529;2 751;1 132;2 210;751;13;1 331;1 487;941;331;18;21 057
2014;11;751;4 033;1 827;2 043;830;1 679;627;11;1 033;1 128;621;231;14;14 828
2014;12;899;6 582;2 288;2 784;879;1 908;694;4;1 279;1 103;678;270;10;19 378
2015;1;727;3 307;1 764;1 986;789;1 735;695;13;1 044;1 156;578;252;18;14 064
2015;2;633;4 284;1 740;1 920;686;1 409;574;18;857;983;573;225;9;13 911
2015;3;802;5 097;2 120;2 419;744;2 078;632;25;1 194;1 143;644;268;12;17 178
2015;4;953;5 833;1 962;2 144;760;1 657;525;17;1 003;1 068;603;271;6;16 802
2015;5;997;5 540;1 862;2 411;785;1 623;592;15;1 048;964;691;232;7;16 767
2015;6;924;6 645;2 469;3 019;970;1 944;731;25;1 257;1 561;758;272;26;20 601
2015;7;988;7 106;2 282;3 002;992;2 164;793;22;1 373;1 377;711;268;9;21 087
2015;8;1 247;8 593;2 624;3 431;1 263;2 735;986;17;1 678;1 799;951;372;26;25 722
2015;9;1 921;12 336;4 323;4 674;2 069;4 052;1 439;32;2 169;2 687;1 560;863;48;38 173
2015;10;1 613;10 650;3 544;4 461;1 741;3 233;1 252;30;1 596;2 064;1 273;688;25;32 170
2015;11;950;8 410;2 547;2 793;1 193;2 320;850;32;1 190;1 461;897;489;30;23 162
2015;12;1 245;12 221;2 875;3 394;1 449;2 537;916;20;1 287;1 565;915;484;21;28 929
2016;1;1 008;7 199;2 477;2 881;1 176;2 261;871;19;1 366;1 469;820;462;25;22 034
2016;2;1 054;8 718;2 490;2 661;1 236;2 240;894;32;1 213;1 412;780;404;17;23 151
2016;3;986;11 778;2 412;2 641;1 012;2 291;753;22;1 214;1 388;918;385;40;25 840
