Annee;Mois;Navigo_Mois_Decouverte;Navigo_Mois_Personnalise;Navigo_Semaine_Decouverte;Navigo_Semaine_Personnalise;NM;NS
2013;1;60 695;256 044;56 682;94 585;316 739;151 267
2013;2;58 650;242 556;50 276;80 321;301 206;130 597
2013;3;55 986;233 834;52 533;90 918;289 820;143 451
2013;4;60 846;253 100;63 108;95 222;313 946;158 330
2013;5;53 692;226 135;60 040;110 303;279 827;170 343
2013;6;59 351;246 019;57 419;86 030;305 370;143 449
2013;7;53 449;212 460;74 167;116 056;265 909;190 223
2013;8;36 459;148 761;58 966;106 596;185 220;165 562
2013;9;60 263;243 497;78 279;124 236;303 760;202 515
2013;10;59 196;245 624;63 937;103 210;304 820;167 147
2013;11;60 550;255 233;54 994;90 180;315 783;145 174
2013;12;55 443;242 660;63 932;100 576;298 103;164 508
2014;1;58 839;254 376;52 591;90 364;313 215;142 955
2014;2;55 765;240 775;52 070;91 266;296 540;143 336
2014;3;58 287;251 485;58 501;93 124;309 772;151 625
2014;4;54 699;235 158;56 432;81 493;289 857;137 925
2014;5;55 664;241 671;54 212;87 119;297 335;141 331
2014;6;56 162;244 163;57 371;84 243;300 325;141 614
2014;7;63 589;271 913;49 692;59 841;335 502;109 533
2014;8;35 463;152 409;58 040;100 095;187 872;158 135
2014;9;57 937;245 120;74 472;115 496;303 057;189 968
2014;10;55 135;241 507;59 629;93 944;296 642;153 573
2014;11;56 664;251 842;47 204;81 564;308 506;128 768
2014;12;51 250;237 588;62 090;95 166;288 838;157 256
2015;1;55 738;254 948;45 797;81 708;310 686;127 505
2015;2;52 254;238 965;47 048;83 517;291 219;130 565
2015;3;54 879;250 022;53 657;88 290;304 901;141 947
2015;4;51 403;237 044;47 496;73 142;288 447;120 638
2015;5;51 803;241 801;46 410;80 816;293 604;127 226
2015;6;53 055;244 473;59 053;96 042;297 528;155 095
2015;7;45 467;203 613;49 673;74 252;249 080;123 925
2015;8;31 855;149 128;60 240;111 431;180 983;171 671
2015;9;65 514;277 635;67 735;83 231;343 149;150 966
2015;10;65 227;287 119;66 196;85 482;352 346;151 678
2015;11;67 499;301 070;61 049;86 446;368 569;147 495
2015;12;60 839;283 059;68 447;81 974;343 898;150 421
2016;1;66 784;307 141;57 355;82 375;373 925;139 730
2016;2;63 854;293 561;67 117;93 154;357 415;160 271
2016;3;64 641;296 855;61 412;75 261;361 496;136 673
